
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
0,s,Spot,1,1000000426,426,
0,s,Spot,1,1000005575,5575,
0,s,Spot,1,1000008102,8102,
0,s,Spot,1,1000011182,11182,
0,s,Spot,1,1000014633,14633,
0,s,Spot,1,1000014915,14915,
0,s,Spot,1,1000018381,18381,
0,s,Spot,1,1000019405,19405,
0,s,Spot,1,1000022248,22248,
0,s,Spot,1,1000023039,23039,
0,s,Spot,1,1000023639,23639,
0,s,Spot,1,1000024512,24512,
0,s,Spot,1,1000025762,25762,
0,s,Spot,1,1000025863,25863,
0,s,Spot,1,1000025898,25898,
0,s,Spot,1,1000026374,26374,
0,s,Spot,1,1000026660,26660,
0,s,Spot,1,1000026789,26789,
0,s,Spot,1,1000026990,26990,
0,s,Spot,1,1000027048,27048,
0,s,Spot,1,1000027245,27245,
0,s,Spot,1,1000027656,27656,
0,s,Spot,1,1000028849,28849,
0,s,Spot,1,1000028860,28860,
0,s,Spot,1,1000029962,29962,
38.704,s,Spot,2,1000000426,31408,
0,s,Spot,2,1000034728,34728,
38.704,s,Spot,2,1000005575,36136,
38.704,s,Spot,2,1000008102,38443,
38.704,s,Spot,2,1000011182,41290,
38.704,s,Spot,2,1000014633,44511,
38.704,s,Spot,2,1000014915,44743,
38.704,s,Spot,2,1000018381,48029,
38.704,s,Spot,2,1000019405,48982,
38.704,s,Spot,2,1000023639,50349,
38.704,s,Spot,2,1000022248,51941,
38.704,s,Spot,2,1000023039,52388,
38.704,s,Spot,2,1000024512,53806,
38.704,s,Spot,2,1000026990,53878,
38.704,s,Spot,2,1000025863,54980,
38.704,s,Spot,2,1000025898,55022,
38.704,s,Spot,2,1000025762,55178,
38.704,s,Spot,2,1000026374,55483,
38.704,s,Spot,2,1000026660,55751,
38.704,s,Spot,2,1000026789,55877,
38.704,s,Spot,2,1000027048,56142,
38.704,s,Spot,2,1000027245,56330,
38.704,s,Spot,2,1000027656,56728,
38.704,s,Spot,2,1000028849,57830,
38.704,s,Spot,2,1000028860,57836,
0,s,Spot,2,1000058544,58544,
38.704,s,Spot,2,1000029962,58891,
77.542,s,Spot,3,1000000426,60244,
38.838,s,Spot,3,1000034728,63643,
77.542,s,Spot,3,1000005575,65097,
77.542,s,Spot,3,1000008102,67443,
0,s,Spot,3,1000069455,69455,
77.542,s,Spot,3,1000011182,70317,
0,s,Spot,3,1000071729,71729,
77.542,s,Spot,3,1000014633,73446,
77.542,s,Spot,3,1000014915,73705,
0,s,Spot,3,1000074239,74239,
77.542,s,Spot,3,1000018381,76943,
77.542,s,Spot,3,1000019405,77924,
77.542,s,Spot,3,1000023639,79247,
0,s,Spot,3,1000080712,80712,
77.542,s,Spot,3,1000022248,80953,
77.542,s,Spot,3,1000023039,81387,
0,s,Spot,3,1000082174,82174,
77.542,s,Spot,3,1000025863,84084,
77.542,s,Spot,3,1000025898,84121,
77.542,s,Spot,3,1000025762,84276,
77.542,s,Spot,3,1000026374,84574,
77.542,s,Spot,3,1000026660,84846,
77.542,s,Spot,3,1000024512,85119,
77.542,s,Spot,3,1000026990,85188,
77.542,s,Spot,3,1000027048,85231,
77.542,s,Spot,3,1000027245,85436,
77.542,s,Spot,3,1000027656,85840,
77.542,s,Spot,3,1000028860,87067,
77.542,s,Spot,3,1000028849,87068,
77.542,s,Spot,3,1000026789,87113,
38.838,s,Spot,3,1000058544,87764,
77.542,s,Spot,3,1000029962,88111,
116.243,s,Spot,4,1000000426,89999,
77.539,s,Spot,4,1000034728,92817,
116.243,s,Spot,4,1000005575,94472,
0,s,Spot,4,1000094504,94504,
116.243,s,Spot,4,1000008102,96642,
116.243,s,Spot,4,1000011182,99638,
38.701,s,Spot,4,1000071729,100780,
38.701,s,Spot,4,1000069455,101402,
116.243,s,Spot,4,1000014633,102466,
116.243,s,Spot,4,1000014915,102705,
38.701,s,Spot,4,1000074239,103194,
116.243,s,Spot,4,1000018381,105925,
116.243,s,Spot,4,1000019405,106901,
116.243,s,Spot,4,1000023639,107889,
38.701,s,Spot,4,1000080712,109580,
116.243,s,Spot,4,1000022248,109796,
116.243,s,Spot,4,1000023039,110552,
38.701,s,Spot,4,1000082174,111030,
0,s,Spot,4,1000111173,111173,
116.243,s,Spot,4,1000026990,111660,
116.243,s,Spot,4,1000025863,112778,
116.243,s,Spot,4,1000025898,112805,
116.243,s,Spot,4,1000025762,112950,
116.243,s,Spot,4,1000026374,113239,
116.243,s,Spot,4,1000026660,113520,
116.243,s,Spot,4,1000024512,113757,
116.243,s,Spot,4,1000027048,113865,
116.243,s,Spot,4,1000027245,114053,
116.243,s,Spot,4,1000027656,114406,
116.243,s,Spot,4,1000028849,115497,
116.243,s,Spot,4,1000026789,115539,
116.243,s,Spot,4,1000028860,115808,
77.539,s,Spot,4,1000058544,116209,
116.243,s,Spot,4,1000029962,116546,
0,s,Spot,4,1000117221,117221,
155.298,s,Spot,5,1000000426,118445,
116.594,s,Spot,5,1000034728,121251,
155.298,s,Spot,5,1000005575,122895,
39.055,s,Spot,5,1000094504,122921,
155.298,s,Spot,5,1000008102,125190,
77.756,s,Spot,5,1000069455,126997,
155.298,s,Spot,5,1000011182,128077,
77.756,s,Spot,5,1000071729,129533,
0,s,Spot,5,1000130081,130081,
155.298,s,Spot,5,1000014633,130906,
155.298,s,Spot,5,1000014915,131163,
77.756,s,Spot,5,1000074239,131962,
155.298,s,Spot,5,1000018381,134403,
155.298,s,Spot,5,1000019405,135344,
0,s,Spot,5,1000135496,135496,
0,s,Spot,5,1000136105,136105,
155.298,s,Spot,5,1000023639,136650,
77.756,s,Spot,5,1000080712,138121,
155.298,s,Spot,5,1000022248,138370,
0,s,Spot,5,1000138478,138478,
155.298,s,Spot,5,1000023039,139141,
39.055,s,Spot,5,1000111173,139444,
77.756,s,Spot,5,1000082174,139613,
155.298,s,Spot,5,1000026990,140299,
155.298,s,Spot,5,1000025863,141518,
155.298,s,Spot,5,1000025898,141554,
155.298,s,Spot,5,1000025762,141715,
155.298,s,Spot,5,1000026374,142006,
155.298,s,Spot,5,1000026660,142309,
155.298,s,Spot,5,1000026789,142442,
155.298,s,Spot,5,1000024512,142605,
155.298,s,Spot,5,1000027048,142723,
155.298,s,Spot,5,1000027245,142911,
155.298,s,Spot,5,1000027656,143300,
155.298,s,Spot,5,1000028849,144692,
155.298,s,Spot,5,1000028860,144697,
116.594,s,Spot,5,1000058544,145135,
155.298,s,Spot,5,1000029962,145462,
0,s,Spot,5,1000145899,145899,
39.055,s,Spot,5,1000117221,146100,
194.175,s,Spot,6,1000000426,147253,
155.471,s,Spot,6,1000034728,149987,
194.175,s,Spot,6,1000005575,151677,
77.932,s,Spot,6,1000094504,151710,
194.175,s,Spot,6,1000008102,154042,
194.175,s,Spot,6,1000011182,156798,
116.633,s,Spot,6,1000071729,157999,
0,s,Spot,6,1000158060,158060,
116.633,s,Spot,6,1000069455,158557,
38.877,s,Spot,6,1000130081,158794,
194.175,s,Spot,6,1000014633,159593,
194.175,s,Spot,6,1000014915,159795,
116.633,s,Spot,6,1000074239,160614,
194.175,s,Spot,6,1000018381,163048,
38.877,s,Spot,6,1000135496,164167,
0,s,Spot,6,1000165097,165097,
38.877,s,Spot,6,1000136105,165141,
194.175,s,Spot,6,1000023639,165409,
194.175,s,Spot,6,1000019405,166686,
194.175,s,Spot,6,1000022248,166839,
116.633,s,Spot,6,1000080712,166933,
38.877,s,Spot,6,1000138478,167324,
194.175,s,Spot,6,1000023039,168006,
77.932,s,Spot,6,1000111173,168315,
116.633,s,Spot,6,1000082174,168492,
194.175,s,Spot,6,1000026990,169213,
194.175,s,Spot,6,1000025863,170750,
194.175,s,Spot,6,1000025898,170777,
194.175,s,Spot,6,1000025762,170880,
194.175,s,Spot,6,1000026374,170923,
194.175,s,Spot,6,1000026660,171211,
194.175,s,Spot,6,1000026789,171326,
194.175,s,Spot,6,1000024512,171491,
194.175,s,Spot,6,1000027048,171600,
194.175,s,Spot,6,1000027245,171786,
194.175,s,Spot,6,1000027656,172144,
194.175,s,Spot,6,1000028849,173596,
194.175,s,Spot,6,1000028860,173606,
155.471,s,Spot,6,1000058544,174031,
194.175,s,Spot,6,1000029962,174373,
77.932,s,Spot,6,1000117221,175066,
38.877,s,Spot,6,1000145899,175260,
0,s,Spot,7,1000178867,178867,
194.217,s,Spot,7,1000034728,179036,
232.921,s,Spot,7,1000005575,180676,
