
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Surface,1,1000018754,18754,
0,s,Surface,1,1000018755,18755,
0,s,Surface,1,1000018756,18756,
0,s,Surface,1,1000018757,18757,
0,s,Surface,1,1000018758,18758,
0,s,Surface,1,1000018759,18759,
0,s,Surface,1,1000018760,18760,
0,s,Surface,1,1000018761,18761,
0,s,Surface,1,1000018762,18762,
0,s,Surface,1,1000018763,18763,
0,s,Surface,1,1000018764,18764,
0,s,Surface,1,1000018765,18765,
0,s,Surface,1,1000018766,18766,
0,s,Surface,1,1000018767,18767,
0,s,Surface,1,1000018768,18768,
0,s,Surface,1,1000018769,18769,
0,s,Surface,1,1000018770,18770,
0,s,Surface,1,1000018771,18771,
0,s,Surface,1,1000018772,18772,
0,s,Surface,1,1000018773,18773,
0,s,Surface,1,1000018774,18774,
0,s,Surface,1,1000018775,18775,
0,s,Surface,1,1000018776,18776,
0,s,Surface,1,1000018777,18777,
0,s,Surface,1,1000018778,18778,
0,s,Surface,1,1000018779,18779,
35.494,s,Surface,2,1000018770,18780,
35.494,s,Surface,2,1000018754,18781,
35.494,s,Surface,2,1000018755,18782,
35.494,s,Surface,2,1000018756,18783,
35.494,s,Surface,2,1000018757,18784,
35.494,s,Surface,2,1000018759,18785,
35.494,s,Surface,2,1000018758,18786,
35.494,s,Surface,2,1000018760,18787,
35.494,s,Surface,2,1000018788,18788,
35.494,s,Surface,2,1000018761,18789,
35.494,s,Surface,2,1000018762,18790,
35.494,s,Surface,2,1000018763,18791,
35.494,s,Surface,2,1000018764,18792,
35.494,s,Surface,2,1000018765,18793,
35.494,s,Surface,2,1000018794,18794,
35.494,s,Surface,2,1000018766,18795,
35.494,s,Surface,2,1000018767,18796,
35.494,s,Surface,2,1000018797,18797,
35.494,s,Surface,2,1000018768,18798,
35.494,s,Surface,2,1000018799,18799,
35.494,s,Surface,2,1000018769,18800,
35.494,s,Surface,2,1000018771,18801,
35.494,s,Surface,2,1000018802,18802,
35.494,s,Surface,2,1000018772,18803,
35.494,s,Surface,2,1000018773,18804,
35.494,s,Surface,2,1000018774,18805,
35.494,s,Surface,2,1000018775,18806,
35.494,s,Surface,2,1000018776,18807,
35.494,s,Surface,2,1000018777,18808,
35.494,s,Surface,2,1000018809,18809,
35.494,s,Surface,2,1000018778,18810,
35.494,s,Surface,2,1000018779,18811,
70.564,s,Surface,3,1000018812,18812,
70.564,s,Surface,3,1000018755,18813,
70.564,s,Surface,3,1000018756,18814,
70.564,s,Surface,3,1000018757,18815,
70.564,s,Surface,3,1000018816,18816,
70.564,s,Surface,3,1000018759,18817,
70.564,s,Surface,3,1000018758,18818,
70.564,s,Surface,3,1000018760,18819,
70.564,s,Surface,3,1000018788,18820,
70.564,s,Surface,3,1000018761,18821,
70.564,s,Surface,3,1000018762,18822,
70.564,s,Surface,3,1000018763,18823,
70.564,s,Surface,3,1000018764,18824,
70.564,s,Surface,3,1000018765,18825,
70.564,s,Surface,3,1000018794,18826,
70.564,s,Surface,3,1000018766,18827,
70.564,s,Surface,3,1000018767,18828,
70.564,s,Surface,3,1000018797,18829,
70.564,s,Surface,3,1000018768,18830,
70.564,s,Surface,3,1000018799,18831,
70.564,s,Surface,3,1000018754,18832,
70.564,s,Surface,3,1000018769,18833,
70.564,s,Surface,3,1000018770,18834,
70.564,s,Surface,3,1000018771,18835,
70.564,s,Surface,3,1000018802,18836,
70.564,s,Surface,3,1000018772,18837,
70.564,s,Surface,3,1000018773,18838,
70.564,s,Surface,3,1000018774,18839,
70.564,s,Surface,3,1000018775,18840,
70.564,s,Surface,3,1000018776,18841,
70.564,s,Surface,3,1000018777,18842,
70.564,s,Surface,3,1000018809,18843,
70.564,s,Surface,3,1000018778,18844,
70.564,s,Surface,3,1000018779,18845,
105.869,s,Surface,4,1000018770,18846,
105.869,s,Surface,4,1000018769,18847,
105.869,s,Surface,4,1000018754,18848,
105.869,s,Surface,4,1000018812,18849,
105.869,s,Surface,4,1000018755,18850,
105.869,s,Surface,4,1000018756,18851,
105.869,s,Surface,4,1000018757,18852,
105.869,s,Surface,4,1000018758,18853,
105.869,s,Surface,4,1000018759,18854,
105.869,s,Surface,4,1000018816,18855,
105.869,s,Surface,4,1000018760,18856,
105.869,s,Surface,4,1000018788,18857,
105.869,s,Surface,4,1000018858,18858,
105.869,s,Surface,4,1000018761,18859,
105.869,s,Surface,4,1000018762,18860,
105.869,s,Surface,4,1000018764,18861,
105.869,s,Surface,4,1000018763,18862,
105.869,s,Surface,4,1000018765,18863,
105.869,s,Surface,4,1000018794,18864,
105.869,s,Surface,4,1000018766,18865,
105.869,s,Surface,4,1000018767,18866,
105.869,s,Surface,4,1000018867,18867,
105.869,s,Surface,4,1000018797,18868,
105.869,s,Surface,4,1000018768,18869,
105.869,s,Surface,4,1000018799,18870,
105.869,s,Surface,4,1000018771,18871,
105.869,s,Surface,4,1000018802,18872,
105.869,s,Surface,4,1000018772,18873,
105.869,s,Surface,4,1000018773,18874,
105.869,s,Surface,4,1000018774,18875,
105.869,s,Surface,4,1000018775,18876,
105.869,s,Surface,4,1000018776,18877,
105.869,s,Surface,4,1000018777,18878,
105.869,s,Surface,4,1000018809,18879,
105.869,s,Surface,4,1000018778,18880,
105.869,s,Surface,4,1000018779,18881,
141.268,s,Surface,5,1000018755,18882,
141.268,s,Surface,5,1000018812,18883,
141.268,s,Surface,5,1000018756,18884,
141.268,s,Surface,5,1000018757,18885,
141.268,s,Surface,5,1000018816,18886,
141.268,s,Surface,5,1000018759,18887,
141.268,s,Surface,5,1000018758,18888,
141.268,s,Surface,5,1000018760,18889,
141.268,s,Surface,5,1000018788,18890,
141.268,s,Surface,5,1000018858,18891,
141.268,s,Surface,5,1000018761,18892,
141.268,s,Surface,5,1000018762,18893,
141.268,s,Surface,5,1000018764,18894,
141.268,s,Surface,5,1000018763,18895,
141.268,s,Surface,5,1000018765,18896,
141.268,s,Surface,5,1000018794,18897,
141.268,s,Surface,5,1000018766,18898,
141.268,s,Surface,5,1000018867,18899,
141.268,s,Surface,5,1000018767,18900,
141.268,s,Surface,5,1000018797,18901,
141.268,s,Surface,5,1000018768,18902,
141.268,s,Surface,5,1000018799,18903,
141.268,s,Surface,5,1000018904,18904,
141.268,s,Surface,5,1000018754,18905,
141.268,s,Surface,5,1000018769,18906,
141.268,s,Surface,5,1000018770,18907,
141.268,s,Surface,5,1000018771,18908,
141.268,s,Surface,5,1000018802,18909,
141.268,s,Surface,5,1000018772,18910,
141.268,s,Surface,5,1000018773,18911,
141.268,s,Surface,5,1000018912,18912,
141.268,s,Surface,5,1000018913,18913,
141.268,s,Surface,5,1000018774,18914,
141.268,s,Surface,5,1000018775,18915,
141.268,s,Surface,5,1000018776,18916,
141.268,s,Surface,5,1000018777,18917,
141.268,s,Surface,5,1000018809,18918,
141.268,s,Surface,5,1000018919,18919,
141.268,s,Surface,5,1000018778,18920,
141.268,s,Surface,5,1000018779,18921,
176.853,s,Surface,6,1000018756,18922,
176.853,s,Surface,6,1000018757,18923,
176.853,s,Surface,6,1000018758,18924,
176.853,s,Surface,6,1000018816,18925,
176.853,s,Surface,6,1000018759,18926,
176.853,s,Surface,6,1000018760,18927,
176.853,s,Surface,6,1000018788,18928,
176.853,s,Surface,6,1000018858,18929,
176.853,s,Surface,6,1000018930,18930,
176.853,s,Surface,6,1000018761,18931,
176.853,s,Surface,6,1000018762,18932,
176.853,s,Surface,6,1000018933,18933,
176.853,s,Surface,6,1000018764,18934,
176.853,s,Surface,6,1000018763,18935,
176.853,s,Surface,6,1000018794,18936,
176.853,s,Surface,6,1000018765,18937,
176.853,s,Surface,6,1000018766,18938,
176.853,s,Surface,6,1000018867,18939,
176.853,s,Surface,6,1000018767,18940,
176.853,s,Surface,6,1000018797,18941,
176.853,s,Surface,6,1000018768,18942,
176.853,s,Surface,6,1000018799,18943,
176.853,s,Surface,6,1000018904,18944,
176.853,s,Surface,6,1000018755,18945,
176.853,s,Surface,6,1000018812,18946,
176.853,s,Surface,6,1000018947,18947,
176.853,s,Surface,6,1000018754,18948,
176.853,s,Surface,6,1000018769,18949,
176.853,s,Surface,6,1000018770,18950,
176.853,s,Surface,6,1000018771,18951,
176.853,s,Surface,6,1000018802,18952,
176.853,s,Surface,6,1000018772,18953,
176.853,s,Surface,6,1000018773,18954,
176.853,s,Surface,6,1000018912,18955,
176.853,s,Surface,6,1000018913,18956,
176.853,s,Surface,6,1000018775,18957,
176.853,s,Surface,6,1000018774,18958,
176.853,s,Surface,6,1000018776,18959,
176.853,s,Surface,6,1000018777,18960,
176.853,s,Surface,6,1000018809,18961,
176.853,s,Surface,6,1000018919,18962,
176.853,s,Surface,6,1000018778,18963,
176.853,s,Surface,6,1000018964,18964,
176.853,s,Surface,6,1000018779,18965,
212.481,s,Surface,7,1000018760,18966,
212.481,s,Surface,7,1000018788,18967,
212.481,s,Surface,7,1000018858,18968,
212.481,s,Surface,7,1000018930,18969,
212.481,s,Surface,7,1000018970,18970,
212.481,s,Surface,7,1000018761,18971,
212.481,s,Surface,7,1000018762,18972,
212.481,s,Surface,7,1000018933,18973,
212.481,s,Surface,7,1000018764,18974,
212.481,s,Surface,7,1000018763,18975,
212.481,s,Surface,7,1000018794,18976,
212.481,s,Surface,7,1000018765,18977,
212.481,s,Surface,7,1000018978,18978,
212.481,s,Surface,7,1000018766,18979,
212.481,s,Surface,7,1000018867,18980,
212.481,s,Surface,7,1000018767,18981,
212.481,s,Surface,7,1000018768,18982,
212.481,s,Surface,7,1000018797,18983,
212.481,s,Surface,7,1000018799,18984,
212.481,s,Surface,7,1000018904,18985,
212.481,s,Surface,7,1000018816,18986,
212.481,s,Surface,7,1000018759,18987,
212.481,s,Surface,7,1000018758,18988,
212.481,s,Surface,7,1000018757,18989,
212.481,s,Surface,7,1000018756,18990,
212.481,s,Surface,7,1000018755,18991,
212.481,s,Surface,7,1000018812,18992,
212.481,s,Surface,7,1000018947,18993,
212.481,s,Surface,7,1000018769,18994,
212.481,s,Surface,7,1000018770,18995,
212.481,s,Surface,7,1000018996,18996,
212.481,s,Surface,7,1000018802,18997,
212.481,s,Surface,7,1000018772,18998,
212.481,s,Surface,7,1000018773,18999,
212.481,s,Surface,7,1000018912,19000,
